label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,382920885296472.25,2980252051645.026,725350202049.7131,267247359318.8089,129137752031.19858,80105138656.93066,51332931540.84073,32851574758.80184,25703665194.550606,23513242475.816345,16470902908.226654,6095392478.579561,5010378469.049057,5296524790.472045,5911929706.973492,3937936258.835802,3753450760.7607307,3541309693.3142967,6607039887.999104,20255454643.446262,3055706240.3285546,3131096509.499919,3068433993.1924696,3197101612.543268,3059442134.917384,3043508075.2245693,4319314045.151009,4209257918.5388765,5964582763.415883,404215564.49883795
1,555276633917906.44,4194439849005.0713,1178829708128.0312,356788653142.9391,172086651359.748,121468416705.36902,87725939679.08133,40729941001.62775,29346165806.624313,35543065988.37631,24675853834.540977,8277663697.054437,7088278410.912394,9004940941.503944,9802235528.831726,5798051446.372909,5674432830.896677,5638350267.630659,8103904482.620635,21940302779.739708,4825446920.782959,4961327089.184082,4469359719.714262,4849926634.950374,4604214362.330089,4887380756.711429,5854093004.418028,6106738856.228937,10666321238.187307,485145288.4017322
1,355450830365286.06,4117567086169.386,1070219222113.7368,337001097438.84436,169756759848.93723,91913388771.40433,65916782387.072754,36063134178.87123,28615068785.20212,23633014569.097485,14401042776.396038,7556867719.757771,6360442626.887543,5993023156.50719,6443369033.078632,4370696340.25922,3835887995.0153694,3491561072.166129,6467962314.777754,19770895220.4352,2864266257.9098787,2813220661.2553444,2841141779.8691897,2922108258.4074755,2730890986.5702057,2902964355.8668528,4168024019.535328,4212024779.284664,5983029557.277013,398913561.3284191
1,422980119245295.06,4561289543359.51,1439305531640.4106,499108301719.97797,229962597058.97327,117839993112.30156,88752657975.51117,45709711770.37351,26085849243.222008,27101201612.90241,20375988175.560844,9463447124.655231,7577346705.194453,8367320538.152049,9921214418.724705,6055017364.344488,5657653254.922687,5147098791.1569805,7944210577.740183,21956146671.809776,4573226612.098754,4538206566.800742,4294980693.601822,4726544669.466925,4141025345.5540223,4570440774.291954,5686259212.281006,5285933693.619308,9341844527.220188,405410087.0628907
1,172257986351150.38,1066706756763.1621,391930522028.29034,104611429404.52356,80033681465.85275,42045940519.61179,31726850490.875076,26300557081.578068,20329608064.434708,18516408746.10382,13071865502.438816,6774260873.250516,6046462893.867134,5746719943.854802,7701001312.012424,4921299882.377638,4433446241.15485,3778039524.834703,20046334588.557556,7036087755.29504,3352442133.214057,3471021068.3519154,3384576683.7278247,3747884042.8474283,3161466959.8484592,3513089773.0781875,4615369278.482124,4420917106.028835,7915224862.853178,312021991.00521004
1,202233640225930.28,1933899481578.65,571765745457.4111,199379825824.39734,106349773569.35622,55416929699.20889,38374851266.68056,26980239356.547256,20859494464.610348,17869343073.172123,11887965283.484816,4760323383.880861,4073999624.4180765,3890377997.78092,5614990843.88017,3271540177.472869,2938832344.4872313,2612270596.7558746,18957092916.78131,5681775858.581111,2403279521.612691,2340020698.159297,2369058169.9430676,2553395735.402663,2259037262.1655936,2473141122.3026657,3714272191.2258224,4039369761.315563,9673734563.84802,329770233.69883096
1,306588576567852.6,4459872295685.102,808906863259.433,372868502398.213,173741833466.79333,93868415932.8804,68693964989.03964,47101951072.51533,38185361166.03019,32522947468.383102,21052768616.428505,7351013081.479741,5951659293.720568,5700781272.473325,7432368065.840715,4852820685.792237,4498387363.431253,3841479944.601107,19912954601.474483,7080363292.671641,3583381107.245131,3529106991.7780333,3501036955.103092,3824012339.8847084,3282556264.670514,3482536108.217467,4804039784.055402,6031634607.6676035,15674962246.106499,359319717.4284787
1,160606399157222.8,1366985389900.9146,436160217503.4961,125014077470.4578,93659403722.20787,55927548558.05872,40616919097.76918,34421480669.68519,27108757560.994125,24631414628.853878,16801339992.883488,6851291801.283989,6135503554.510099,5774704238.781087,7844782261.868927,4856688610.915494,4384658218.01634,3707795318.3701797,20288704652.213608,6998153111.367222,3329367558.8760514,3495868813.740966,3338627436.2541165,3808236094.121022,3072353868.150174,3414164069.7029233,4623486974.969198,4176766465.8444967,7021545337.506788,277000810.1140898
1,583319825045694.5,3896101539446.2695,965550086775.0828,336954544250.03784,179510381908.98065,95968054150.74902,56841853851.65739,44347915111.31585,29684292090.726845,27272040704.24688,17938829726.99727,8451665162.074887,7665228643.92678,6487428127.773903,7722964238.426241,5414952080.039787,4794670719.918027,4226791830.5847015,20492724746.193558,7069864860.873311,3727073098.1376557,3715067194.958031,3601867613.512413,3913820750.99723,3508862994.0301857,3710442574.300915,5139840214.0639105,8248918257.925001,26099555887.125786,492736116.68398476
1,541741898371759.06,4604209245663.301,1321089454101.4578,440426224860.9148,285131425740.1382,152901101633.68927,109039239371.34766,88638117945.39484,65072841129.65595,58782665231.8883,40267403220.53633,16747528069.34129,15551937421.043106,13857331412.430143,14706120939.666561,11596415753.33382,10241785702.455128,8533066526.7553835,25534813595.03788,11942728152.79359,7785057398.522833,7791870540.3688755,7253412135.339037,8017466225.759459,7200636353.944354,7342657487.867229,8831345444.307486,10391702409.254045,21956494501.190826,447365298.8542713
1,435214323044749.1,1989822773793.2556,606329923300.0487,232562472921.69308,146127250416.84155,79476665444.60333,62584677203.32277,51599599922.51029,42190070144.809906,36825177592.45686,22186525450.520073,7065144687.127752,5827371517.94194,5146390620.61854,6689412719.468502,4080773074.540457,3714836448.709911,3308849438.1281295,19303441489.15423,6324973798.93038,2827364701.2218485,2902475317.164038,2790255505.7852254,2934738077.1515903,2735956865.672283,3001902098.9423804,4322653358.394138,5178208265.605261,22208106043.681274,407626324.4496854
1,438518406476586.7,2829156125981.7627,857251766140.9651,264459349887.72977,166505672763.07367,77805139999.53665,56362544369.250534,43978604825.13069,31837333468.862907,27499970670.123314,18692425135.228287,10181037743.841343,9002883952.141466,8490307121.621231,9565359688.545525,6724323170.137398,6020694678.649622,5204818286.919867,21621326967.09798,8422845970.107646,4545004595.337814,4585205511.2374525,4381508024.225977,4861571429.551575,4229034627.406222,4616070562.138142,5985937588.086204,8146905760.017579,23674650494.867085,429192173.4198863
1,392869408214266.4,2656299157320.2246,818884926570.894,273216386952.8386,200261195612.47696,104219693660.71945,84607124766.39244,64697039525.45686,50413323198.922775,46403085834.23585,30210326498.231743,13492274529.873251,11902044858.973345,11201918772.14268,12646143542.644564,9257086262.169483,8406593864.332929,6988624574.9347,23214980345.816544,10576405737.458996,6280849266.969218,6366987485.115557,6070624984.388924,6626098537.321262,5783671117.638168,6057062176.814264,7364767358.3467045,6980417874.516213,18422227161.975864,397597943.27033675
1,248699058086024.1,1869879852095.585,576226879327.3438,189462318159.75165,116349625829.11008,65201882036.596054,44012445763.13299,36632824995.95877,27629173891.91141,23939187411.741535,18668071204.504025,11861511992.075191,10423168895.144588,9825920532.392157,11238505891.241764,8346651915.028893,7681534755.288883,6178026566.944633,22272809359.386925,9815763530.141195,5646990548.586689,5739992406.373251,5443278088.323259,6102486863.545223,5094523727.08467,5439650220.798491,6834163867.033787,6754899437.769819,13206529372.450777,342320924.6449299
1,427146224256576.8,2378210823160.239,783178081234.3784,283311221033.9854,193259685323.45953,104592774467.8049,78090355620.95006,61836773714.963165,45927941359.71203,41971581379.925064,28564956106.762104,14481416372.542973,12432493188.344744,11956068264.006613,13392328119.359896,9454377741.089241,8850674677.507633,7287954650.803396,23882987309.705154,10819405781.972904,6562066433.716618,6717896127.455494,6335824569.007909,6920066602.687843,6005541922.967096,6460179903.84799,7632404977.174267,7213446317.99065,16228102682.840256,403395740.4536593
1,306594389008825.9,2578079375770.2686,840199523532.8037,254288693018.3185,170614045050.07974,93685613100.06424,66637627877.70813,52449905946.68724,39443441384.799835,33728153040.97997,27321168809.054848,18896661404.463303,17133737007.25729,16085180036.93412,16899405172.023228,12970034714.576569,11997329977.717049,9874644712.237127,26221140222.28824,13692965775.387218,8873507726.292002,8945028119.10316,8236031348.192668,9398260001.50881,7787848461.212742,8240284844.010765,9798075744.427124,9965606139.122757,14497959361.457598,364309740.96992606
1,356593364574079.3,5419751538498.893,1436170947986.0078,426874775399.7632,209259796149.05603,147426492278.95114,92163380446.13235,45081365165.26354,34676476102.55166,37451938841.65168,25526901120.47636,10484675731.069267,9440973982.28481,10861570352.367294,10503238715.818806,6846908784.203222,7041266827.630106,6420297603.284482,22854569593.905807,8633100955.514423,5295401014.816168,5573478061.197976,5112657212.12171,5453387693.002291,5059987004.953529,5292933106.601753,6139249919.911503,6126284256.191275,4782504098.841002,403994063.3086198
1,379618233295566.2,6066228231727.972,1777421669263.6062,551205129043.6992,298863860960.40674,228156084005.65436,135225654403.14719,59903576930.577286,57744648363.272316,56700466746.23807,33313796211.467957,16424775007.458115,19793978270.91032,18491556749.605995,15471838584.335915,11577715003.697746,12351629925.46043,10176729677.170683,25732601964.805138,11909518214.801125,8951829940.74628,7896896827.349001,6922830671.695903,8280006473.734717,8027586722.124957,7571481860.456064,8134872986.479269,9189310076.694431,6011816867.806581,418621559.4862484
1,543153644379994.5,6258570305571.334,1670525660097.9521,519095566738.46826,262228571923.21167,186983176441.30246,125685763168.99266,64280375221.12329,48860260900.92788,52328111033.198006,33542226308.973564,10620871063.847385,9800145632.014107,11437778908.273687,11116839369.781874,6830983103.144325,7114863286.327954,6630000828.153985,22978826965.384377,8846543594.324848,5443988214.504625,5684942334.731476,5091983403.274246,5453967833.974555,5408943881.202484,5459645559.832861,6186622736.759223,6446238455.287621,8389304637.810295,461632879.4489834
1,695264386563578.6,5759267182254.928,1609745803104.2722,489047406857.8149,245410968009.3401,180339796647.30154,115780020072.70372,50080015329.70451,39652617256.96123,42126916356.23291,29513380071.25856,12730843473.134714,12223835645.13655,13975541251.436043,12966505253.936134,8452207582.103982,8825737886.497234,8223072538.191902,24685437161.302452,10213395106.78244,7003571549.524269,7226485692.4464855,6358035787.91304,6956665200.540218,6625524993.652376,6776384925.652506,7541870385.777943,8970499597.573263,6213060486.930643,547246310.2514896
1,378163888967468.56,2013649014542.1365,827456332913.145,310262077247.4689,209320023006.50284,120848124750.22884,101025416250.78323,86033717454.13585,64801192713.18146,54436209551.90508,37596895439.45389,17097011017.196358,14044371126.123089,12960554897.223932,14185531501.802517,10308005341.409653,9381581678.008059,7627372427.293505,24643085060.52612,10890787316.260029,6744966770.047646,6762465462.028795,6475749960.832258,7187775631.400954,6079015228.867751,6517523291.234441,7776403207.989321,9867717340.647623,17793961695.517097,388910904.42833626
1,300715596695914.9,2244427617498.565,703645169804.7882,223719660983.96054,155218787557.41785,90565565317.73859,77924258413.71219,64544552421.79823,50670691896.500336,41742197704.28601,29280111032.477463,16264704576.199572,13654184628.07746,12522231711.427553,13121081239.94722,9916155304.952755,9045323352.756207,7389124905.987469,23650259440.189217,10682633184.147034,6571659491.549856,6465735051.869694,6153871699.485908,6701757943.288236,5682310480.758206,6118562024.025167,7569114582.176125,8970788149.29772,14351191312.243937,355516841.6647507
1,357319454414669.4,3006209579395.739,945496639002.3794,369979174941.5679,246475903153.2124,145813007731.12042,114746648879.56519,95630911180.10666,77055930178.10825,67226539476.094315,44762462535.81766,16824651850.162945,14931926974.384476,13811653904.714048,14747237151.063686,11469230742.895466,10344245806.840652,8400436063.114163,25341838422.98015,11994061209.808048,7722973409.717489,7682797921.389599,7203698021.428264,7937291695.930257,6888492196.201735,7330711767.774004,8318062006.18849,10666227890.263466,15081934786.339348,375896725.6923243
