label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,448060667246815.7,3156765050642.2734,1021739908324.0684,365578490976.5973,210711779081.20493,138576276551.7899,91988351560.71793,76946592869.02074,57888226027.41869,49003401145.88802
1,417748555487233.8,3055915670815.7847,1022887007877.1423,365920495286.6754,219385893716.24066,152835855944.15137,104106388016.46622,88032270570.41962,69904139699.30948,60251355310.87531
1,605883790843967.2,4711996729445.55,1786762657512.8398,599018437471.8702,353310476565.39044,252613279044.63132,151564309180.29172,129361486585.56558,103419135269.67015,82632940827.44191
1,484069701615372.44,4279623514013.802,1534256302869.6956,505338979105.068,250126115460.59244,186563161147.14774,106343821383.77591,86634702122.39,72596767612.49153,52871827526.253006
1,606991098443837.8,3045192734745.701,1210854035100.86,467225444780.3519,273173216654.45035,203903464974.26642,141578663477.2143,118780102029.66595,98641526055.85727,83832023462.97014
1,227231843766969.0,2423162276661.2466,751805065876.2307,287427472891.28687,160460217861.35608,105409421385.99309,70009568500.05193,54649364479.05076,43673873122.82285,36545147687.2672
1,500225165430005.0,3227546986721.0596,1209480635410.9229,426191257524.19257,239023238811.48755,168114583559.39435,106770098433.63004,85083984970.04565,66198669148.0726,51323299877.43733
1,156176873591713.5,2158722939770.748,733709879209.428,288271456533.1961,151656034800.3687,97218142662.32593,66058895556.327,48502021892.99342,39067404858.248886,31654125290.05562
1,856748283966740.4,4301346862030.6196,1624077816508.8906,576209424549.0227,336251319382.885,236550505362.0871,145046644067.85278,120073188652.449,89586861386.47,70645072686.50085
1,399981141811393.0,3479044519780.952,1001713375116.1509,440065467203.10315,244638018341.9439,149914080411.43396,109667952905.68924,81315694667.206,63531715098.5374,50593599719.15241
1,654551485134351.0,5266855648606.394,1825416719420.7021,719574212719.7262,375287212360.2938,273511575706.07562,185634653001.50705,142873854603.60345,116896471161.80165,91315714668.6289
1,460171522303767.75,4035270150359.6284,1334894948915.8718,545137147697.35205,303546065778.9409,194164609772.21698,133531377627.89401,100263430401.11584,77395347136.52666,62051653293.44226
