label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,382920885296472.25,2980252051645.026,725350202049.7131,267247359318.8089,129137752031.19858,80105138656.93066,51332931540.84073,32851574758.80184,25703665194.550606,23513242475.816345
1,555276633917906.44,4194439849005.0713,1178829708128.0312,356788653142.9391,172086651359.748,121468416705.36902,87725939679.08133,40729941001.62775,29346165806.624313,35543065988.37631
1,355450830365286.06,4117567086169.386,1070219222113.7368,337001097438.84436,169756759848.93723,91913388771.40433,65916782387.072754,36063134178.87123,28615068785.20212,23633014569.097485
1,422980119245295.06,4561289543359.51,1439305531640.4106,499108301719.97797,229962597058.97327,117839993112.30156,88752657975.51117,45709711770.37351,26085849243.222008,27101201612.90241
1,172257986351150.38,1066706756763.1621,391930522028.29034,104611429404.52356,80033681465.85275,42045940519.61179,31726850490.875076,26300557081.578068,20329608064.434708,18516408746.10382
1,202233640225930.28,1933899481578.65,571765745457.4111,199379825824.39734,106349773569.35622,55416929699.20889,38374851266.68056,26980239356.547256,20859494464.610348,17869343073.172123
1,306588576567852.6,4459872295685.102,808906863259.433,372868502398.213,173741833466.79333,93868415932.8804,68693964989.03964,47101951072.51533,38185361166.03019,32522947468.383102
1,160606399157222.8,1366985389900.9146,436160217503.4961,125014077470.4578,93659403722.20787,55927548558.05872,40616919097.76918,34421480669.68519,27108757560.994125,24631414628.853878
1,583319825045694.5,3896101539446.2695,965550086775.0828,336954544250.03784,179510381908.98065,95968054150.74902,56841853851.65739,44347915111.31585,29684292090.726845,27272040704.24688
1,541741898371759.06,4604209245663.301,1321089454101.4578,440426224860.9148,285131425740.1382,152901101633.68927,109039239371.34766,88638117945.39484,65072841129.65595,58782665231.8883
1,435214323044749.1,1989822773793.2556,606329923300.0487,232562472921.69308,146127250416.84155,79476665444.60333,62584677203.32277,51599599922.51029,42190070144.809906,36825177592.45686
1,438518406476586.7,2829156125981.7627,857251766140.9651,264459349887.72977,166505672763.07367,77805139999.53665,56362544369.250534,43978604825.13069,31837333468.862907,27499970670.123314
1,392869408214266.4,2656299157320.2246,818884926570.894,273216386952.8386,200261195612.47696,104219693660.71945,84607124766.39244,64697039525.45686,50413323198.922775,46403085834.23585
1,248699058086024.1,1869879852095.585,576226879327.3438,189462318159.75165,116349625829.11008,65201882036.596054,44012445763.13299,36632824995.95877,27629173891.91141,23939187411.741535
1,427146224256576.8,2378210823160.239,783178081234.3784,283311221033.9854,193259685323.45953,104592774467.8049,78090355620.95006,61836773714.963165,45927941359.71203,41971581379.925064
1,306594389008825.9,2578079375770.2686,840199523532.8037,254288693018.3185,170614045050.07974,93685613100.06424,66637627877.70813,52449905946.68724,39443441384.799835,33728153040.97997
1,356593364574079.3,5419751538498.893,1436170947986.0078,426874775399.7632,209259796149.05603,147426492278.95114,92163380446.13235,45081365165.26354,34676476102.55166,37451938841.65168
1,379618233295566.2,6066228231727.972,1777421669263.6062,551205129043.6992,298863860960.40674,228156084005.65436,135225654403.14719,59903576930.577286,57744648363.272316,56700466746.23807
1,543153644379994.5,6258570305571.334,1670525660097.9521,519095566738.46826,262228571923.21167,186983176441.30246,125685763168.99266,64280375221.12329,48860260900.92788,52328111033.198006
1,695264386563578.6,5759267182254.928,1609745803104.2722,489047406857.8149,245410968009.3401,180339796647.30154,115780020072.70372,50080015329.70451,39652617256.96123,42126916356.23291
1,378163888967468.56,2013649014542.1365,827456332913.145,310262077247.4689,209320023006.50284,120848124750.22884,101025416250.78323,86033717454.13585,64801192713.18146,54436209551.90508
1,300715596695914.9,2244427617498.565,703645169804.7882,223719660983.96054,155218787557.41785,90565565317.73859,77924258413.71219,64544552421.79823,50670691896.500336,41742197704.28601
